Accuracy,FileName,Model,class,f1_score,precision,recall,support,time,Normalize,Sampling
0.9903333333333333,Normalized_random_RandomForest.sav,RandomForest,0,0.99,0.99,1.0,2286.0,6.13,1,random
0.9903333333333333,Normalized_random_RandomForest.sav,RandomForest,1,0.98,0.99,0.96,714.0,6.13,1,random
0.793,Normalized_random_LogisticRegression.sav,LogisticRegression,0,0.87,0.82,0.93,2286.0,0.02,1,random
0.793,Normalized_random_LogisticRegression.sav,LogisticRegression,1,0.45,0.61,0.36,714.0,0.02,1,random
0.9763333333333334,Normalized_random_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.98,0.98,0.99,2286.0,0.02,1,random
0.9763333333333334,Normalized_random_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.95,0.97,0.93,714.0,0.02,1,random
0.7113333333333334,Normalized_random_GaussianNB.sav,GaussianNB,0,0.78,0.91,0.69,2286.0,0.02,1,random
0.7113333333333334,Normalized_random_GaussianNB.sav,GaussianNB,1,0.56,0.44,0.78,714.0,0.02,1,random
0.9663333333333334,Normalized_random_MLPClassifier.sav,MLPClassifier,0,0.98,0.99,0.97,2286.0,10.73,1,random
0.9663333333333334,Normalized_random_MLPClassifier.sav,MLPClassifier,1,0.93,0.91,0.96,714.0,10.73,1,random
0.9873333333333333,Normalized_up_RandomForest.sav,RandomForest,0,0.99,0.99,1.0,2286.0,8.55,1,up
0.9873333333333333,Normalized_up_RandomForest.sav,RandomForest,1,0.97,0.99,0.96,714.0,8.55,1,up
0.7593333333333333,Normalized_up_LogisticRegression.sav,LogisticRegression,0,0.82,0.93,0.74,2286.0,0.05,1,up
0.7593333333333333,Normalized_up_LogisticRegression.sav,LogisticRegression,1,0.62,0.5,0.82,714.0,0.05,1,up
0.97,Normalized_up_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.98,0.98,0.98,2286.0,0.03,1,up
0.97,Normalized_up_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.94,0.94,0.93,714.0,0.03,1,up
0.5593333333333333,Normalized_up_GaussianNB.sav,GaussianNB,0,0.61,0.93,0.46,2286.0,0.02,1,up
0.5593333333333333,Normalized_up_GaussianNB.sav,GaussianNB,1,0.49,0.34,0.89,714.0,0.02,1,up
0.9703333333333334,Normalized_up_MLPClassifier.sav,MLPClassifier,0,0.98,0.98,0.98,2286.0,12.01,1,up
0.9703333333333334,Normalized_up_MLPClassifier.sav,MLPClassifier,1,0.94,0.93,0.94,714.0,12.01,1,up
0.9873333333333333,Normalized_down_RandomForest.sav,RandomForest,0,0.99,0.99,1.0,2286.0,9.36,1,down
